OS Version,Servicing option,KB article,Availability date,Build
Windows 11,General Availability Channel,KB5074109,2026-01-13,26200.7623
Windows 11,General Availability Channel,KB5072033,2025-12-09,26200.7462
Windows 11,General Availability Channel,KB5070311,2025-12-01,26200.7309
Windows 11,General Availability Channel,KB5068861,2025-11-11,26200.7171
Windows 11,General Availability Channel,KB5067036,2025-10-28,26200.7019
Windows 11,General Availability Channel,KB5070773,2025-10-20,26200.6901
Windows 11,General Availability Channel,KB5066835,2025-10-14,26200.6899
Windows 11,General Availability Channel,,2025-09-30,26200.6584
Windows 11,LTSC  •  General Availability Channel,KB5074109,2026-01-13,26100.7623
Windows 11,LTSC  •  General Availability Channel,KB5072033,2025-12-09,26100.7462
Windows 11,LTSC  •  General Availability Channel,KB5070311,2025-12-01,26100.7309
Windows 11,LTSC  •  General Availability Channel,KB5072359,2025-11-18,26100.7178
Windows 11,LTSC  •  General Availability Channel,KB5068861,2025-11-11,26100.7171
Windows 11,LTSC  •  General Availability Channel,KB5067036,2025-10-28,26100.7019
Windows 11,LTSC  •  General Availability Channel,KB5070881,2025-10-23,26100.6905
Windows 11,LTSC  •  General Availability Channel,KB5070773,2025-10-20,26100.6901
Windows 11,LTSC  •  General Availability Channel,KB5066835,2025-10-14,26100.6899
Windows 11,LTSC  •  General Availability Channel,KB5065789,2025-09-29,26100.6725
Windows 11,LTSC  •  General Availability Channel,KB5068221,2025-09-22,26100.6588
Windows 11,LTSC  •  General Availability Channel,KB5065426,2025-09-09,26100.6584
Windows 11,LTSC  •  General Availability Channel,KB5064081,2025-08-29,26100.5074
Windows 11,LTSC  •  General Availability Channel,KB5063878,2025-08-12,26100.4946
Windows 11,LTSC  •  General Availability Channel,KB5062660,2025-07-22,26100.4770
Windows 11,LTSC  •  General Availability Channel,KB5064489,2025-07-13,26100.4656
Windows 11,LTSC  •  General Availability Channel,KB5062553,2025-07-08,26100.4652
Windows 11,LTSC  •  General Availability Channel,KB5060829,2025-06-26,26100.4484
Windows 11,LTSC  •  General Availability Channel,KB5063060,2025-06-11,26100.4351
Windows 11,LTSC  •  General Availability Channel,KB5060842,2025-06-10,26100.4349
Windows 11,LTSC  •  General Availability Channel,KB5058499,2025-05-28,26100.4202
Windows 11,LTSC  •  General Availability Channel,KB5061977,2025-05-27,26100.4066
Windows 11,LTSC  •  General Availability Channel,KB5058411,2025-05-13,26100.4061
Windows 11,LTSC  •  General Availability Channel,KB5055627,2025-04-25,26100.3915
Windows 11,LTSC  •  General Availability Channel,KB5055523,2025-04-08,26100.3775
Windows 11,LTSC  •  General Availability Channel,KB5053656,2025-03-27,26100.3624
Windows 11,LTSC  •  General Availability Channel,KB5053598,2025-03-11,26100.3476
Windows 11,LTSC  •  General Availability Channel,KB5052093,2025-02-25,26100.3323
Windows 11,LTSC  •  General Availability Channel,KB5051987,2025-02-11,26100.3194
Windows 11,LTSC  •  General Availability Channel,KB5050094,2025-01-28,26100.3037
